start_station_name,member_casual,rides_total,avg_trip_duration,max_trip_duration,min_trip_duration
Indiana Ave & 31st St,member,4564,9.8187992988606485,1138,1
Rush St & Superior St,casual,4559,24.831980697521388,1261,1
Paulina Ave & North Ave,member,4559,12.634568984426407,233,1
Winthrop Ave & Lawrence Ave,member,4542,11.592250110083667,1167,1
McClurg Ct & Erie St,casual,4541,32.192028187623869,1240,1
Sheridan Rd & Montrose Ave,casual,4529,17.372488408037093,1231,1
Shields Ave & 31st St,member,4525,8.8786740331491725,1115,1
Wells St & Institute Pl,member,4521,9.5686794956867924,1322,1
Delano Ct & Roosevelt Rd,member,4493,12.136657022034274,1155,1
Franklin St & Illinois St,casual,4493,15.235032272423769,1386,1
Sheridan Rd & Lawrence Ave,member,4486,10.717565760142664,1157,1
Lakefront Trail & Wilson Ave,casual,4484,37.799509366636933,1422,1
Western Ave & Fillmore St,member,4482,11.218206157965195,138,1
Damen Ave & Leland Ave,member,4456,10.338644524236983,902,1
Larrabee St & Menomonee St,member,4455,11.614814814814816,1006,1
Greenview Ave & Diversey Pkwy,member,4454,11.587561742254156,767,1
Lake Park Ave & 53rd St,member,4450,17.900449438202255,1370,1
Orleans St & Elm St,member,4426,11.682557614098508,1422,1
Ashland Ave & Chicago Ave,member,4423,10.727334388424145,463,1
Franklin St & Lake St,casual,4420,17.650000000000002,1317,1
Broadway & Ridge Ave,member,4382,14.116613418530353,688,1
Wood St & Milwaukee Ave,casual,4359,17.647625602202339,1233,1
Racine Ave & Fullerton Ave,casual,4345,15.115535097813579,1279,1
Broadway & Granville Ave,member,4331,15.265989378896327,644,1
Damen Ave & Cortland St,casual,4328,17.417282809611827,884,1
Michigan Ave & Madison St,casual,4324,29.043940795559671,1416,1
Western Ave & Walton St,member,4315,13.620393974507532,1309,1
N Green St & W Lake St,member,4303,10.479897745758771,127,1
Clarendon Ave & Gordon Ter,casual,4301,17.568704952336667,1281,1
Marine Dr & Ainslie St,member,4299,15.941149104442895,1295,1
Canal St & Taylor St,member,4290,9.5032634032634036,389,1
Ellis Ave & 53rd St,member,4273,8.73110227006787,485,1
Mies van der Rohe Way & Chicago Ave,casual,4262,29.458939465039887,977,1
Leavitt St & Armitage Ave,member,4252,11.416274694261523,353,1
Burling St & Diversey Pkwy,casual,4252,16.14628410159925,1176,1
Ogden Ave & Chicago Ave,casual,4246,14.646726330664157,930,1
Clarendon Ave & Leland Ave,member,4243,12.988922931887815,1208,1
Clark St & Randolph St,casual,4211,24.237235810971264,1183,1
Honore St & Division St,casual,4188,16.346704871060165,1157,1
Michigan Ave & Ida B Wells Dr,casual,4185,32.865710872162495,1431,1
Clark St & Berwyn Ave,casual,4179,19.863843024647043,1357,1
Southport Ave & Wrightwood Ave,casual,4173,12.858614905343874,916,1
Logan Blvd & Elston Ave,member,4164,13.709894332372718,889,1
Ritchie Ct & Banks St,casual,4163,21.954359836656259,1364,1
Peoria St & Jackson Blvd,casual,4154,17.229658160808857,1197,1
LaSalle Dr & Huron St,casual,4081,22.571918647390348,1358,1
Franklin St & Chicago Ave,casual,4066,16.323167732415154,1088,1
Ravenswood Ave & Irving Park Rd,member,4065,11.615744157441577,373,1
Dayton St & North Ave,casual,4063,15.171301993600785,1160,1
Southport Ave & Belmont Ave,casual,4052,15.633761105626849,1197,1
Milwaukee Ave & Wabansia Ave,casual,4049,17.99975302543838,1342,1
Burnham Harbor,casual,4029,33.513775130305291,1399,1
Lincoln Ave & Sunnyside Ave,member,4018,12.0669487307118,1254,1
Wolcott (Ravenswood) Ave & Montrose Ave,member,4016,10.317729083665343,837,1
Greenview Ave & Fullerton Ave,casual,4014,13.659940209267562,969,1
Seeley Ave & Roscoe St,member,4006,13.920619071392911,459,1
Sedgwick St & Huron St,casual,3999,15.164041010252562,1439,1
Western Ave & Division St,member,3988,13.914493480441324,257,1
Sheffield Ave & Kingsbury St,casual,3971,14.541928985142281,817,1
Michigan Ave & 14th St,casual,3959,25.251326092447584,1222,1
Racine Ave & 18th St,member,3951,11.891672994178689,1350,1
Damen Ave & Grand Ave,member,3945,12.670975918884665,1197,1
